2022-05-11 00:29:52.850  INFO [Bluewaterdataservice,,] 44624 --- [main] c.b.d.b.BluewaterdataserviceApplication  : Starting BluewaterdataserviceApplication v0.0.1-SNAPSHOT using Java 15 on DESKTOP-F6VKB7S with PID 44624 (C:\mydata\myjava\MyMicroservice\bluewaterdataservice\target\bluewaterdataservice-0.0.1-SNAPSHOT.jar started by Chung2 in C:\mydata\myjava\MyMicroservice\bluewaterdataservice)
2022-05-11 00:29:52.861  INFO [Bluewaterdataservice,,] 44624 --- [main] c.b.d.b.BluewaterdataserviceApplication  : No active profile set, falling back to 1 default profile: "default"
2022-05-11 00:29:53.939  INFO [Bluewaterdataservice,,] 44624 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=2044660a-89b1-3df7-87f2-d8ebde038d3c
2022-05-11 00:29:54.788  INFO [Bluewaterdataservice,,] 44624 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8888 (http)
2022-05-11 00:29:54.801  INFO [Bluewaterdataservice,,] 44624 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-11 00:29:54.802  INFO [Bluewaterdataservice,,] 44624 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-05-11 00:29:54.877  INFO [Bluewaterdataservice,,] 44624 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-11 00:29:54.878  INFO [Bluewaterdataservice,,] 44624 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1946 ms
2022-05-11 00:29:56.168  INFO [Bluewaterdataservice,,] 44624 --- [main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2022-05-11 00:29:56.582  WARN [Bluewaterdataservice,,] 44624 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-11 00:29:56.659  INFO [Bluewaterdataservice,,] 44624 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2022-05-11 00:29:57.286  INFO [Bluewaterdataservice,,] 44624 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application BLUEWATERDATASERVICE with eureka with status UP
2022-05-11 00:29:57.318  INFO [Bluewaterdataservice,,] 44624 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8888 (http) with context path ''
2022-05-11 00:29:57.319  INFO [Bluewaterdataservice,,] 44624 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8888
2022-05-11 00:29:57.493  INFO [Bluewaterdataservice,,] 44624 --- [main] c.b.d.b.BluewaterdataserviceApplication  : Started BluewaterdataserviceApplication in 5.379 seconds (JVM running for 5.895)
2022-05-11 00:30:20.020  INFO [Bluewaterdataservice,,] 38880 --- [main] c.b.d.b.BluewaterdataserviceApplication  : Starting BluewaterdataserviceApplication v0.0.1-SNAPSHOT using Java 15 on DESKTOP-F6VKB7S with PID 38880 (C:\mydata\myjava\MyMicroservice\bluewaterdataservice\target\bluewaterdataservice-0.0.1-SNAPSHOT.jar started by Chung2 in C:\mydata\myjava\MyMicroservice\bluewaterdataservice)
2022-05-11 00:30:20.023  INFO [Bluewaterdataservice,,] 38880 --- [main] c.b.d.b.BluewaterdataserviceApplication  : No active profile set, falling back to 1 default profile: "default"
2022-05-11 00:30:21.037  INFO [Bluewaterdataservice,,] 38880 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=2044660a-89b1-3df7-87f2-d8ebde038d3c
2022-05-11 00:30:21.740  INFO [Bluewaterdataservice,,] 38880 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8889 (http)
2022-05-11 00:30:21.772  INFO [Bluewaterdataservice,,] 38880 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-11 00:30:21.813  INFO [Bluewaterdataservice,,] 38880 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-05-11 00:30:21.885  INFO [Bluewaterdataservice,,] 38880 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-11 00:30:21.914  INFO [Bluewaterdataservice,,] 38880 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1850 ms
2022-05-11 00:30:23.297  INFO [Bluewaterdataservice,,] 38880 --- [main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2022-05-11 00:30:23.762  WARN [Bluewaterdataservice,,] 38880 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-11 00:30:23.850  INFO [Bluewaterdataservice,,] 38880 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2022-05-11 00:30:24.446  INFO [Bluewaterdataservice,,] 38880 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application BLUEWATERDATASERVICE with eureka with status UP
2022-05-11 00:30:24.471  INFO [Bluewaterdataservice,,] 38880 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8889 (http) with context path ''
2022-05-11 00:30:24.472  INFO [Bluewaterdataservice,,] 38880 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8889
2022-05-11 00:30:24.640  INFO [Bluewaterdataservice,,] 38880 --- [main] c.b.d.b.BluewaterdataserviceApplication  : Started BluewaterdataserviceApplication in 5.239 seconds (JVM running for 5.688)
2022-05-11 00:30:49.976  INFO [Bluewaterdataservice,,] 46728 --- [main] c.b.d.b.BluewaterdataserviceApplication  : Starting BluewaterdataserviceApplication v0.0.1-SNAPSHOT using Java 15 on DESKTOP-F6VKB7S with PID 46728 (C:\mydata\myjava\MyMicroservice\bluewaterdataservice\target\bluewaterdataservice-0.0.1-SNAPSHOT.jar started by Chung2 in C:\mydata\myjava\MyMicroservice\bluewaterdataservice)
2022-05-11 00:30:49.979  INFO [Bluewaterdataservice,,] 46728 --- [main] c.b.d.b.BluewaterdataserviceApplication  : No active profile set, falling back to 1 default profile: "default"
2022-05-11 00:30:50.968  INFO [Bluewaterdataservice,,] 46728 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=2044660a-89b1-3df7-87f2-d8ebde038d3c
2022-05-11 00:30:51.742  INFO [Bluewaterdataservice,,] 46728 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8890 (http)
2022-05-11 00:30:51.762  INFO [Bluewaterdataservice,,] 46728 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-11 00:30:51.767  INFO [Bluewaterdataservice,,] 46728 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-05-11 00:30:51.867  INFO [Bluewaterdataservice,,] 46728 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-11 00:30:51.869  INFO [Bluewaterdataservice,,] 46728 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1848 ms
2022-05-11 00:30:53.384  INFO [Bluewaterdataservice,,] 46728 --- [main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2022-05-11 00:30:53.861  WARN [Bluewaterdataservice,,] 46728 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-11 00:30:53.961  INFO [Bluewaterdataservice,,] 46728 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2022-05-11 00:30:54.623  INFO [Bluewaterdataservice,,] 46728 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application BLUEWATERDATASERVICE with eureka with status UP
2022-05-11 00:30:54.654  INFO [Bluewaterdataservice,,] 46728 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8890 (http) with context path ''
2022-05-11 00:30:54.655  INFO [Bluewaterdataservice,,] 46728 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8890
2022-05-11 00:30:54.826  INFO [Bluewaterdataservice,,] 46728 --- [main] c.b.d.b.BluewaterdataserviceApplication  : Started BluewaterdataserviceApplication in 5.479 seconds (JVM running for 5.936)
2022-05-11 00:31:43.517  INFO [Bluewaterdataservice,4b3668a8fa596945,4b3668a8fa596945] 46728 --- [http-nio-8890-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-11 00:31:43.518  INFO [Bluewaterdataservice,4b3668a8fa596945,4b3668a8fa596945] 46728 --- [http-nio-8890-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-11 00:31:43.521  INFO [Bluewaterdataservice,4b3668a8fa596945,4b3668a8fa596945] 46728 --- [http-nio-8890-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2022-05-11 00:37:16.918  INFO [Bluewaterdataservice,837f915a5d68b35c,837f915a5d68b35c] 44624 --- [http-nio-8888-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-11 00:37:16.918  INFO [Bluewaterdataservice,837f915a5d68b35c,837f915a5d68b35c] 44624 --- [http-nio-8888-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-11 00:37:16.933  INFO [Bluewaterdataservice,837f915a5d68b35c,837f915a5d68b35c] 44624 --- [http-nio-8888-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2022-05-11 00:37:16.956  INFO [Bluewaterdataservice,837f915a5d68b35c,837f915a5d68b35c] 44624 --- [http-nio-8888-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:37:40.105  INFO [Bluewaterdataservice,68e33c74da933546,68e33c74da933546] 44624 --- [http-nio-8888-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:37:40.647  INFO [Bluewaterdataservice,f914471cb89d6cbc,f914471cb89d6cbc] 44624 --- [http-nio-8888-exec-3] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:37:41.054  INFO [Bluewaterdataservice,733af291bc6663da,733af291bc6663da] 44624 --- [http-nio-8888-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:37:41.283  INFO [Bluewaterdataservice,d4152653cca0fa21,d4152653cca0fa21] 44624 --- [http-nio-8888-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:37:41.508  INFO [Bluewaterdataservice,acb230a32729dfa9,acb230a32729dfa9] 44624 --- [http-nio-8888-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
